code,Corp_name,Rgst_years,Corp_Rgst_Cap,Shareholders_Num,Per_Capita_Shareholding,Employees_Num,Bachelor_Person_Pro,Technicians_Person_Pro,Cash_Flow_Ratio,Net_Cash_Flow_to_Liability_Ratio,Net_Cash_Flow_to_Net_Profit_Ratio,Operating_Cash_Return_Flow,Net_Cash_Flow_to_Sales_Revenue_Ratio,Current_Assets_Turnover_Days,Current_Assets_Turnover_Rate,Total_Asset_Turnover_Days,Inventory_Turnover_Days,Total_Asset_Turnover_Rate,Fixed_Asset_Turnover_Rate,Inventory_Turnover_Rate,Accounts_Receivable_Turnover_Days,Accounts_Receivable_Turnover_Rate,Total_Asset_Growth_Rate,Net_Asset_Growth_Rate,Net_Profit_Growth_Rate,Main_Business_Revenue_Growth_Rate,Proportion_of_fixed_assets,Liquidation_value_ratio,Equity_ratio,Capital_fixed_ratio,Net_fixed_asset_value_ratio,Capitalization_ratio,Long_term_assets_to_long_term_funding_ratio,Liabilities_to_owner_equity_ratio,Ratio_of_shareholders_equity_to_fixed_assets,Long_term_debt_ratio,Shareholders_equity_ratio,Long_term_debt_to_working_capital_ratio,Gearing_ratio,Interest_payment_multiple,Cash_ratio,Quick_ratio,Liquidity_ratio,Total_asset_margin,Profit_margin_of_main_business,Total_net_asset_margin,Cost_and_expense_margins,Operating_margin,Cost_ratio_of_main_business,Net_profit_margin_on_sales,Return_on_equity,Return_on_equity,Return_on_net_assets,Return_on_assets,Sales_gross_margin,Three_cost_ratios,Non_main_proportion,Proportion_of_main_profit,Main_business_income,Main_business_profit,Operating_profit,Investment_income,Net_non_operating_income_and_expenditure,Total_profit,Net_profit,Net_cash_flow_from_operating_activities,Net_increase_in_cash_and_cash_equivalents,Total_assets,liquid_asset,Total_liabilities,Current_liabilities,Shareholders_equity_does_not_include_minority_interests,Return_on_equity_weighting,Operating_income,Operating_costs,Operating_profit,Total_profit,Income_tax_expense,Net_profit,Basic_earnings_per_share,Monetary_funds,Accounts_receivable,Stocks,Total_current_assets,Net_fixed_assets,Total_assets,Total_current_liabilities,Total_non_current_liabilities,Total_liabilities,Total_owners_equity,Opening_cash_and_cash_equivalents_balances,Net_cash_flow_from_operating_activities,Net_cash_flows_from_investing_activities,Net_cash_flows_from_fund_raising_activities,Net_increase_in_cash_and_cash_equivalents,Closing_cash_and_cash_equivalents_balances,Total_current_assets,Total_non_current_assets,Total_assets,Total_current_liabilities,Total_non_current_liabilities,Total_liabilities,Total_owners_equity,Total_liabilities_and_owners_equity,y
2351,深圳市漫步者科技股份有限公司,21.0,"88,910.700000",81753.0,1.09,2854.0,10.86,17.34,66.12,0.57,1.34,0.09,0.16,374.01,0.72,476.27,139.56,0.57,,1.93,40.04,6.74,8.85,5.33,-28.95,-8.07,,,16.81,25.11,,0.22,25.05,19.10,,0.18,83.96,0.0,16.04,"4,809.11",176.64,4.34,5.67,6.88,30.69,6.95,16.80,13.78,68.38,12.25,21.12,21.12,8.19,6.88,,12.58,4.88,16.81,"153,196","47,023","21,106","1,055",-26,"21,079","18,774","25,126","33,062","272,890","215,365","43,768","38,000","223,695",7.7,"153,196","104,751","21,106","21,079","2,306","18,774",0.19,"67,122","23,307","50,352","215,365",,"272,890","38,000","5,768","43,768","229,122","28,874","25,126","25,639","-17,798","33,062","61,936","215,365","57,525","272,890","38,000","5,768","43,768","229,122","272,890",0
300700,长沙岱勒新材料科技股份有限公司,13.0,"12,153.258100",11418.0,1.06,713.0,14.17,12.48,-2.41,-0.02,-0.21,-0.01,-0.03,336.36,0.8,760.99,116.77,0.35,,2.31,104.36,2.59,25.27,37.29,,141.93,,,96.74,105.71,,7.70,97.57,97.08,,4.23,50.74,2.81,49.26,"1,595.45",12.37,0.8,1.03,5.15,33.37,5.77,25.22,19.23,65.86,16.25,59.11,59.11,10.14,5.15,,9.44,-0.24,96.74,"44,198","14,748","8,500",,-21,"8,479","7,184","-1,507",-883,"139,582","64,713","68,757","62,609","71,003",11.54,"44,198","29,110","8,500","8,479","1,295","7,184",0.62,"7,744","21,108","14,592","64,713",,"139,582","62,609","6,148","68,757","70,825","8,109","-1,507","-3,270","3,840",-883,"7,226","64,713","74,869","139,582","62,609","6,148","68,757","70,825","139,582",0
301032,浙江新柴股份有限公司,15.0,"24,113.340000",14428.0,1.67,1622.0,13.13,11.47,5.75,0.05,9.39,0.03,0.04,294.89,0.92,406.69,73.75,0.66,,3.66,50.68,5.33,-6.51,1.06,-85.29,-17.45,,,118.97,61.62,,,,125.48,,,44.35,,55.65,94.66,42.05,1.09,1.38,0.32,8.27,0.32,0.02,0.02,91.41,0.48,3.19,3.19,0.73,0.32,,4.62,338.49,118.97,"161,652","13,369",35,119,,35,770,"7,229",613,"238,423","173,268","132,683","125,797","105,740",0.72,"161,652","147,767",35,35,-734,770,0.03,"52,899","45,683","36,292","173,268",,"238,423","125,797","6,886","132,683","105,740","37,635","7,229","4,538","-11,154",613,"38,248","173,268","65,155","238,423","125,797","6,886","132,683","105,740","238,423",0
819,岳阳兴长石化股份有限公司,32.0,"30,632.525500",22410.0,1.37,639.0,25.04,10.17,33.99,0.32,1.28,0.06,0.03,55.37,4.88,141.19,8.92,1.91,,30.28,2.90,92.99,22.43,16.20,66.44,84.14,,,21.90,80.49,,,,23.09,,,81.24,,18.76,"-2,049.31",118.63,1.62,1.95,4.72,7.24,4.91,3.01,2.89,92.26,2.57,19.80,19.80,5.81,4.72,,3.61,5.09,21.90,"236,442","17,123","6,822",308,41,"6,862","6,066","7,776",611,"128,558","44,498","24,116","22,875","95,798",5.41,"236,442","218,143","6,822","6,862",796,"6,066",0.17,"27,136","3,113","7,422","44,498",,"128,558","22,875","1,242","24,116","104,442","24,214","7,776","-14,402","7,122",611,"24,825","44,498","84,060","128,558","22,875","1,242","24,116","104,442","128,558",0
2383,北京合众思壮科技股份有限公司,,"74,036.030500",60202.0,1.23,2632.0,46.24,43.88,-6.21,-0.06,-16.19,-0.04,-0.13,492.79,0.55,919.93,232.08,0.29,,1.16,109.30,2.47,-5.02,5.03,,6.97,,,186.82,112.54,,9.44,101.91,192.26,,3.57,34.22,3.13,65.78,171.45,39.83,0.78,1.02,0.23,44.70,0.23,3.87,3.12,54.66,0.79,1.55,1.55,0.68,0.23,,34.22,10.04,186.82,"145,834","65,193","4,543",0,507,"5,050","1,147","-18,572","-17,879","495,141","304,479","325,723","298,840","161,452",1.06,"145,834","79,720","4,543","5,050","3,903","1,147",0.02,"45,446","65,989","70,399","304,479",,"495,141","298,840","26,883","325,723","169,419","58,278","-18,572","6,287","-6,070","-17,879","40,399","304,479","190,662","495,141","298,840","26,883","325,723","169,419","495,141",0
605055,浙江迎丰科技股份有限公司,14.0,"44,000.000000",17289.0,2.54,2992.0,0.0,12.0,19.38,0.17,,0.08,0.18,156.83,1.72,578.90,25.62,0.47,,10.54,26.79,10.08,6.74,2.09,-116.03,23.03,,,87.07,136.08,,5.47,128.64,94.22,,2.98,51.49,-0.25,48.51,2.29,41.27,0.61,0.72,-0.44,9.58,-0.46,-1.67,-1.63,89.38,-0.98,-2.26,-2.26,-0.86,-0.44,,8.26,-1.56,87.07,"101,538","9,728","-1,658",36,-10,"-1,669",-993,"18,158","13,515","223,870","67,009","108,603","93,692","113,891",-1.0,"101,538","90,755","-1,658","-1,669",-675,-993,-0.03,"38,668","9,386","9,789","67,009",,"223,870","93,692","14,911","108,603","115,267","16,900","18,158","-8,533","3,890","13,515","30,415","67,009","156,861","223,870","93,692","14,911","108,603","115,267","223,870",0
2079,苏州固锝电子股份有限公司,32.0,"80,788.661600",136933.0,0.59,1742.0,18.89,26.12,10.55,0.1,0.33,0.02,0.03,227.77,1.19,349.06,56.18,0.77,,4.81,67.24,4.02,8.09,7.25,7.17,24.56,,,25.53,45.38,,0.58,45.12,26.77,,0.46,78.88,0.01,21.12,"-1,410.56",68.83,2.49,3.26,6.2,16.72,6.41,10.87,9.55,83.09,8.29,24.90,24.90,7.87,6.2,,4.17,6.89,25.53,"242,811","40,588","23,185","1,689",-99,"23,086","20,117","6,734","-22,723","324,238","208,170","68,469","63,805","253,457",8.0,"242,811","201,742","23,185","23,086","2,969","20,117",0.25,"43,917","65,015","49,278","208,170",,"324,238","63,805","4,664","68,469","255,769","65,611","6,734","-20,247","-10,263","-22,723","42,889","208,170","116,068","324,238","63,805","4,664","68,469","255,769","324,238",0
870508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
600355,精伦电子股份有限公司,28.0,"49,208.920000",54994.0,0.89,361.0,51.52,37.12,13.92,0.14,,0.05,0.13,445.47,0.61,793.65,255.90,0.34,,1.06,34.37,7.85,-18.40,-13.51,"-1,101.87",-38.97,,,51.86,72.19,,,,53.16,,,65.29,,34.71,"-1,831.85",48.06,0.79,1.56,-6.82,22.92,-6.18,-18.31,-18.15,75.39,-18.17,-4.78,-4.78,-10.44,-6.82,,22.10,6.90,51.86,"12,952","2,968","-2,350",-160,-2,"-2,353","-2,354","1,628","2,189","34,537","18,257","11,987","11,694","22,669",-9.92,"12,952","9,764","-2,350","-2,353",1,"-2,354",-0.05,"5,620","1,456","9,019","18,257",,"34,537","11,694",293,"11,987","22,550","2,748","1,628",11,548,"2,189","4,937","18,257","16,280","34,537","11,694",293,"11,987","22,550","34,537",0
3028,深圳市振邦智能科技股份有限公司,23.0,"11,148.810000",14445.0,0.77,1419.0,14.16,29.67,83.87,0.8,2.09,0.16,0.34,526.32,0.51,570.34,140.34,0.47,,1.92,91.43,2.95,3.13,17.39,-20.65,-14.84,,,23.99,12.11,,0.00,12.11,25.26,,0.0,79.83,0.0,20.17,-175.02,184.76,3.98,4.72,7.7,25.10,7.78,25.55,18.84,74.17,16.44,118.76,118.76,9.65,7.7,,-1.46,2.98,23.99,"80,554","20,217","15,175",511,-60,"15,115","13,240","27,614","33,923","171,902","155,285","34,671","32,926","137,231",10.17,"80,554","59,750","15,175","15,115","1,876","13,240",1.19,"60,836","20,317","24,204","155,285",,"171,902","32,926","1,745","34,671","137,231","26,913","27,614","3,077","-1,149","33,923","60,836","155,285","16,617","171,902","32,926","1,745","34,671","137,231","171,902",0
301155,江苏海力风电设备科技股份有限公司,13.0,"21,739.147800",26067.0,0.83,983.0,7.63,10.78,-25.59,-0.24,-1.26,-0.04,-0.26,"1,236.26",0.22,"1,584.51",109.81,0.17,,2.46,344.43,0.78,81.57,153.54,-74.81,-73.24,,,21.17,38.35,,,,22.14,,,81.87,,18.13,"-1,135.40",112.83,3.49,3.96,3.53,13.23,3.57,25.96,23.15,85.88,20.92,112.59,112.59,4.31,3.53,,2.21,37.43,21.17,"117,014","15,484","27,092","10,180",-62,"27,029","24,477","-30,771","-233,364","693,757","475,941","125,750","120,240","544,110",4.4,"117,014","100,497","27,092","27,029","2,553","24,477",1.11,"135,664","164,284","55,708","475,941",,"693,757","120,240","5,510","125,750","568,006","348,461","-30,771","-147,219","-55,373","-233,364","115,097","475,941","217,816","693,757","120,240","5,510","125,750","568,006","693,757",0
603956,上海威派格智慧水务股份有限公司,11.0,"50,843.536300",11843.0,4.29,2152.0,74.4,24.3,-25.68,-0.18,,-0.07,-0.45,975.43,0.28,"1,501.67",227.46,0.18,,1.19,439.17,0.61,61.20,61.76,-200.09,-35.75,,,43.41,54.59,,,,62.66,,,61.48,,38.52,-989.47,108.17,2.21,2.49,-4.22,53.03,-4.93,-27.81,-33.73,45.76,-27.44,-27.92,-27.92,-6.86,-4.22,,74.76,-3.92,43.41,"51,720","27,428","-17,446",750,-64,"-17,510","-14,194","-23,074","59,722","336,704","223,693","129,700","89,852","206,065",-8.0,"51,720","23,668","-17,446","-17,510","-3,316","-14,194",-0.3,"97,191","82,645","25,156","223,693",,"336,704","89,852","39,848","129,700","207,005","33,877","-23,074","-13,974","96,769","59,722","93,599","223,693","113,011","336,704","89,852","39,848","129,700","207,005","336,704",0
300495,美尚生态景观股份有限公司,21.0,"67,427.948800",28101.0,2.40,330.0,46.36,64.85,2.16,0.02,0.17,0.01,0.79,"6,569.34",0.04,"20,000.00",454.09,0.01,,0.59,"2,757.92",0.10,-26.05,-23.28,,-59.21,,,163.51,211.90,,9.97,190.77,188.10,,3.85,34.71,-0.15,65.29,-30.32,0.76,0.46,0.5,6.87,4.64,6.39,-62.18,345.10,94.99,474.27,52.57,52.57,19.78,6.87,,199.96,15.89,163.51,"7,474",347,"25,793","37,337","-39,518","-13,725","35,448","5,888","-30,216","516,192","136,526","337,023","273,111","174,556",19.21,"7,474","7,099","25,793","-13,725","-49,172","35,448",0.53,"2,070","54,473","11,187","136,526",,"516,192","273,111","63,912","337,023","179,168","30,647","5,888",-462,"-35,646","-30,216",431,"136,526","379,666","516,192","273,111","63,912","337,023","179,168","516,192",0
300971,襄阳博亚精工装备股份有限公司,23.0,"8,400.000000",8895.0,0.94,757.0,22.99,21.0,24.79,0.22,1.84,0.06,0.27,894.04,0.3,"1,218.41",174.46,0.22,,1.55,183.55,1.47,16.31,5.16,-44.24,1.97,,,31.71,37.10,,,,35.88,,,73.59,,26.41,"-4,803.49",132.47,2.71,3.11,3.15,39.66,3.3,22.96,17.12,59.45,14.91,47.47,47.47,4.28,3.15,,17.74,4.58,31.71,"26,744","10,606","4,578",2,218,"4,796","3,987","7,322","12,765","126,531","91,981","33,413","29,531","90,811",4.27,"26,744","15,898","4,578","4,796",808,"3,987",0.46,"39,118","18,876","11,930","91,981",,"126,531","29,531","3,883","33,413","93,117","24,228","7,322","9,145","-3,701","12,765","36,993","91,981","34,550","126,531","29,531","3,883","33,413","93,117","126,531",0
603218,日月重工股份有限公司,15.0,"102,558.000000",41482.0,2.33,3379.0,4.74,6.9,12.63,0.12,2.56,0.04,0.13,610.58,0.44,963.94,70.10,0.28,,3.85,106.74,2.53,18.22,0.51,-70.09,-4.61,,,42.35,52.71,,2.27,51.52,43.92,,1.61,69.48,0.05,30.52,-166.25,70.24,2.03,2.28,1.37,9.97,1.43,6.41,5.95,89.60,5.12,17.61,17.61,1.98,1.37,,1.59,31.43,42.35,"332,598","33,148","19,804","6,402",-259,"19,545","17,038","43,569","71,863","1,240,428","786,096","378,526","344,981","861,537",1.96,"332,598","298,015","19,804","19,545","2,507","17,038",0.18,"155,651","139,173","84,807","786,096",,"1,240,428","344,981","33,545","378,526","861,902","83,787","43,569","2,803","24,442","71,863","155,651","786,096","454,332","1,240,428","344,981","33,545","378,526","861,902","1,240,428",0
2337,天津赛象科技股份有限公司,27.0,"58,861.575000",76117.0,0.77,906.0,37.2,31.9,34.09,0.34,4.87,0.1,0.52,"1,102.94",0.24,"1,346.63",431.72,0.2,,0.63,204.17,1.32,8.45,2.94,-13.06,-30.71,,,41.52,22.77,,,,41.82,,,70.51,,29.49,-54.57,41.53,2.02,2.87,2.05,33.60,2.15,12.76,9.85,65.88,10.72,6.11,6.11,2.9,2.05,,14.41,14.96,41.52,"33,568","11,394","3,308",364,153,"3,461","3,598","17,533","-6,184","175,675","147,473","51,802","51,435","115,371",3.06,"33,568","22,115","3,308","3,461",-136,"3,598",0.06,"21,359","23,606","43,422","147,473",,"175,675","51,435",367,"51,802","123,874","26,402","17,533","-25,752",-103,"-6,184","20,218","147,473","28,202","175,675","51,435",367,"51,802","123,874","175,675",0
600520,文一三佳科技股份有限公司,22.0,"15,843.000000",28599.0,0.55,645.0,17.36,15.19,10.29,0.1,1.20,0.05,0.13,383.85,0.7,662.25,167.93,0.41,,1.61,117.59,2.30,6.01,1.52,,9.26,,,103.17,82.34,,,,104.11,,,48.99,,51.01,"1,909.94",23.77,0.83,1.18,4.33,26.97,4.47,14.01,11.81,71.55,10.96,24.26,24.26,8.84,4.33,,11.75,-4.52,103.17,"35,058","9,455","4,139",-213,25,"4,164","3,844","4,614",-534,"88,726","52,932","45,256","44,849","43,470",7.62,"35,058","25,085","4,139","4,164",321,"3,844",0.2,"10,660","20,021","15,544","52,932",,"88,726","44,849",407,"45,256","43,470","4,443","4,614",-232,"-4,916",-534,"3,909","52,932","35,794","88,726","44,849",407,"45,256","43,470","88,726",0
